comment-id,comment_text,votes,agrees,disagrees,passes,a-votes,a-agree-count,a-disagree-count,a-pass-count,b-votes,b-agree-count,b-disagree-count,b-pass-count
1,"我認為，台灣目前的自學法規是成熟且可靠的。",10,7,1,2,0,0,0,0,0,0,0,0
2,"我認為，台灣的自學審議機制是合理並可以信任的。",9,7,0,2,0,0,0,0,0,0,0,0
3,"我認為，台灣的個人自學，常常遇到原子化和資源不足的情況。",11,9,0,2,0,0,0,0,0,0,0,0
4,"我認為，近年來，一般教育、實驗教育和自學之間的跑道切換愈來愈容易。",10,9,0,1,0,0,0,0,0,0,0,0
5,"我認為，個人自學的一大困難是經費不足。",10,7,2,1,0,0,0,0,0,0,0,0
6,"我認為，個人自學的一大困難是找學伴和玩伴。",9,8,0,1,0,0,0,0,0,0,0,0
7,"我認為，國中小階段既然屬於國民義務教育，合法申請的個人自學家庭理當有政府的教育經費支持，而不是全額撥給設籍學校。",9,8,0,1,0,0,0,0,0,0,0,0
8,"我認為，目前網路上的社群媒體並不充份符合自學家庭找共學共玩夥伴的需求。",8,6,0,2,0,0,0,0,0,0,0,0
9,"我認為，自學社群需要新的社群媒體以利共學互助。",9,8,0,1,0,0,0,0,0,0,0,0
10,"我認為，在地經濟和自學社群的發展密切相關。",11,8,1,2,0,0,0,0,0,0,0,0
11,"我認為，自學不等於孤立、獨學無友。",9,8,0,1,0,0,0,0,0,0,0,0
13,"我認為，自學2.0互助平台的願景，具有相當的前瞻性。",12,11,0,1,0,0,0,0,0,0,0,0
14,"我認為，在都市化的區域，要在住家附近認識興趣相近、年齡相仿的自學夥伴，目前並不容易。",10,9,0,1,0,0,0,0,0,0,0,0
15,"非學校型態實驗教育的補助，應向下延伸到國中小階段",1,1,0,0,0,0,0,0,0,0,0,0
16,"雖然自學的法令開通，但有些家庭是在學校遇到困難，被學校系統推出學校而「被自學」，這些家庭需要社群的支持力量，才不會孤立無援。",1,1,0,0,0,0,0,0,0,0,0,0
